school,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,TotalGrades,HasHighEducatedParents,StudyTimeCategory,sex_F,sex_M,address_R,address_U
1,18.0,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4.0,3,4,1,1,3,6.0,5,6,6,17,1,Low,True,False,False,True
1,17.0,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,3,3,1,1,3,4.0,5,5,6,16,0,Low,True,False,False,True
1,15.0,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4.0,3,2,2,3,3,10.0,7,8,10,25,0,Low,True,False,False,True
1,15.0,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2,2,1,1,5,2.0,15,14,15,44,1,Meduim,True,False,False,True
1,16.0,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4.0,3,2,1,2,5,4.0,6,10,10,26,1,Low,True,False,False,True
1,16.0,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,2,5,10.0,15,15,15,45,1,Low,False,True,False,True
1,16.0,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4,4,1,1,3,0.0,12,12,11,35,0,Low,False,True,False,True
1,17.0,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1,4,1,1,1,6.0,6,5,6,17,1,Low,True,False,False,True
1,15.0,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,1,1,0.0,16,18,19,53,1,Low,False,True,False,True
1,16.0,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,1,1,1,5,0.0,14,15,15,44,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3.0,3,3,1,2,2,0.0,10,8,9,27,1,Low,True,False,False,True
1,15.0,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,2,2,1,1,4,4.0,10,12,12,34,0,Meduim,True,False,False,True
1,15.0,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,3,5,2.0,14,14,14,42,1,Low,False,True,False,True
1,15.0,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5.0,4,3,1,2,3,2.0,10,10,11,31,1,Low,False,True,False,True
1,15.0,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,5,2,1,1,3,0.0,14,16,16,46,0,Meduim,False,True,False,True
1,16.0,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4.0,4,4,1,2,2,4.0,14,14,14,42,1,Low,True,False,False,True
1,16.0,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,2,3,1,2,2,6.0,13,14,14,41,1,Meduim,True,False,False,True
1,16.0,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5.0,3,2,1,1,4,4.0,8,10,10,28,1,Low,True,False,False,True
1,17.0,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16.0,6,5,5,16,1,Low,False,True,False,True
1,16.0,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,1,3,1,3,5,4.0,8,10,10,28,1,Low,False,True,False,True
1,15.0,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4,1,1,1,1,0.0,13,14,15,42,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5.0,4,2,1,1,5,5.679245283018868,12,15,15,42,1,Low,False,True,False,True
1,16.0,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4.0,5,1,1,3,5,2.0,15,15,16,46,1,Low,False,True,False,True
1,16.0,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,2,4,5,5.679245283018868,13,13,12,38,0,Low,False,True,False,True
1,15.0,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,2.0,10,9,8,27,1,Meduim,True,False,True,False
1,16.0,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1.0,2,2,1,3,5,14.0,6,9,8,23,0,Low,True,False,False,True
1,15.0,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,2,5,2.0,12,12,11,35,0,Low,False,True,False,True
1,15.0,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2.0,2,4,2,4,1,4.0,15,16,15,46,1,Low,False,True,False,True
1,16.0,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,1,5,4.0,11,11,11,33,1,Low,False,True,False,True
1,16.0,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,5,5,5,5,16.0,10,12,11,33,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,4,2,3,4,5,0.0,9,11,12,32,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,1,1,1,5,0.0,17,16,17,50,1,Low,False,True,False,True
1,15.0,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,5,2,1,1,5,0.0,17,16,16,49,1,Low,False,True,True,False
1,15.0,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5.0,3,2,1,1,2,0.0,8,10,12,30,1,Low,False,True,False,True
1,16.0,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5.0,4,3,1,1,5,0.0,12,14,15,41,1,Low,False,True,False,True
1,15.0,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3.0,5,1,1,1,5,0.0,8,7,6,21,1,Low,True,False,False,True
1,15.0,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,1,4,2.0,15,16,18,49,1,Meduim,False,True,False,True
1,16.0,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2.0,4,3,1,1,5,7.0,15,16,15,46,1,Meduim,False,True,True,False
1,15.0,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,2.0,12,12,11,35,1,Meduim,True,False,True,False
1,15.0,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4.0,3,1,1,1,2,8.0,14,13,13,40,0,Low,True,False,True,False
1,16.0,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3.0,3,3,1,2,3,20.0,7,10,11,28,0,Low,True,False,False,True
1,15.0,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5.0,4,3,2,4,5,8.0,12,12,12,36,1,Low,False,True,False,True
1,16.0,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,1,1,5,2.0,19,18,18,55,1,Low,False,True,False,True
1,15.0,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5.0,4,1,1,1,1,0.0,8,8,11,27,0,Low,False,True,False,True
1,16.0,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,5,14.0,10,10,9,29,0,Low,True,False,False,True
1,15.0,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2,2,1,1,5,8.0,8,8,6,22,1,Low,True,False,False,True
1,16.0,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,3,5,1,4,3,12.0,11,12,11,34,1,Low,True,False,False,True
1,16.0,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4.0,2,2,1,1,2,4.0,19,19,20,58,1,High,False,True,False,True
1,15.0,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4.0,3,3,2,2,5,2.0,15,15,14,44,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4.0,4,4,1,1,3,2.0,7,7,7,21,1,Low,True,False,False,True
1,16.0,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,2,3,4,2.0,12,13,13,38,0,Low,True,False,False,True
1,15.0,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,5,2.0,11,13,13,37,1,Low,True,False,False,True
1,15.0,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5.0,5,5,3,4,5,6.0,11,11,10,32,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3.0,3,4,2,3,5,0.0,8,10,11,29,1,Low,True,False,False,True
1,15.0,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5.0,3,4,4,4,1,6.0,10,13,13,36,1,Low,True,False,False,True
1,17.0,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5.0,3,4,1,1,2,8.0,8,9,10,27,0,Low,True,False,False,True
1,15.0,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,1,0.0,14,15,15,44,1,Low,True,False,False,True
1,15.0,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4.0,2,2,1,1,5,4.0,14,15,15,44,1,Low,False,True,False,True
1,15.0,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3,2,1,1,5,2.0,9,10,9,28,0,Low,False,True,False,True
1,16.0,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,2,3,1,1,5,2.0,15,16,16,47,1,Low,True,False,False,True
1,16.0,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2.0,4,4,2,3,4,6.0,10,11,11,32,1,Low,True,False,True,False
1,16.0,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5.0,5,5,5,5,5,6.0,10,8,11,29,0,Low,True,False,False,True
1,16.0,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4.0,4,3,1,1,1,4.0,8,10,9,27,0,Low,True,False,False,True
1,16.0,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3.0,4,4,2,4,4,2.0,10,9,9,28,1,Meduim,True,False,False,True
1,15.0,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4.0,4,4,2,4,2,0.0,10,10,10,30,1,Low,True,False,False,True
1,16.0,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,2,1,2.0,16,15,15,46,1,Low,True,False,False,True
1,15.0,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1.0,3,3,5,5,3,5.679245283018868,13,13,12,38,1,High,False,True,False,True
1,16.0,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,2,5,5.679245283018868,7,7,6,20,1,High,True,False,False,True
1,15.0,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4.0,1,3,1,3,4,2.0,8,9,8,25,0,Low,True,False,True,False
1,15.0,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4.0,4,2,2,3,3,12.0,16,16,16,48,1,High,True,False,True,False
1,16.0,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,2,1,1,5,0.0,13,15,15,43,1,High,False,True,False,True
1,15.0,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3,3,1,1,3,0.0,10,10,10,30,1,High,False,True,False,True
1,15.0,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3.0,3,4,2,4,5,2.0,8,6,5,19,0,Low,True,False,True,False
1,16.0,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5.0,3,2,2,2,5,2.0,12,12,14,38,1,Low,False,True,False,True
1,16.0,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,3,2,4,5,20.0,11,12,11,34,1,Low,True,False,False,True
1,15.0,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,2,3,5,6.0,9,9,10,28,1,Low,False,True,False,True
1,15.0,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3.0,4,3,1,1,1,8.0,11,11,10,32,1,High,False,True,False,True
1,16.0,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5.0,2,3,1,3,3,0.0,11,11,11,33,0,High,True,False,False,True
1,16.0,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4.0,5,1,1,1,3,5.679245283018868,8,8,10,26,0,Low,False,True,False,True
1,16.0,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,4,3,1,2,3,12.0,5,5,5,15,1,Low,True,False,False,True
1,15.0,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2,2,1,3,3,5.679245283018868,10,12,12,34,1,Low,False,True,False,True
1,15.0,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5.0,3,2,1,2,5,4.0,11,10,11,32,1,Meduim,False,True,False,True
1,15.0,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,1,1,5,10.0,7,6,6,19,1,Low,True,False,False,True
1,15.0,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5.0,3,3,1,3,4,4.0,15,15,15,45,0,Low,False,True,False,True
1,15.0,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4.0,3,2,2,3,4,2.0,9,10,10,29,0,Low,True,False,False,True
1,15.0,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6.0,7,9,8,24,1,Low,True,False,False,True
1,16.0,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3,4,1,2,2,4.0,8,7,6,21,0,Low,True,False,False,True
1,15.0,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,3,1,5.679245283018868,13,14,14,41,1,Meduim,True,False,False,True
1,16.0,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4.0,4,2,1,1,3,12.0,11,10,10,31,0,Low,False,True,False,True
1,16.0,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,1,3,3,5,5,18.0,8,6,7,21,1,Low,False,True,False,True
1,16.0,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4.0,3,3,1,3,4,0.0,7,7,8,22,1,Meduim,True,False,False,True
1,15.0,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4.0,5,5,1,3,1,4.0,16,17,18,51,1,Low,True,False,False,True
1,16.0,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3,3,2,3,2,4.0,7,6,6,19,1,Low,True,False,False,True
1,16.0,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,3,3,1,1,1,0.0,11,10,10,31,1,Low,True,False,False,True
1,15.0,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,4,1,1,4,6.0,11,13,14,38,0,High,False,True,False,True
1,15.0,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3.0,1,2,1,1,1,2.0,7,10,10,27,0,High,True,False,True,False
1,16.0,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3.0,3,3,1,1,4,2.0,11,15,15,41,1,Low,False,True,True,False
1,16.0,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4.0,3,5,1,1,5,2.0,8,9,10,27,0,Low,True,False,False,True
1,16.0,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5.0,3,4,1,2,1,6.0,11,14,14,39,1,Low,True,False,False,True
1,16.0,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5.0,3,5,1,1,3,0.0,7,9,8,24,1,Meduim,True,False,False,True
1,16.0,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,5,5,5,5,4,14.0,7,7,5,19,1,Low,False,True,False,True
1,16.0,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,4,3,1,1,4,0.0,16,17,17,50,1,Meduim,False,True,False,True
1,15.0,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5.0,3,3,1,1,5,4.0,10,13,14,37,1,Low,False,True,False,True
1,15.0,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4.0,3,5,1,1,2,20.0,7,6,6,19,1,Low,True,False,False,True
1,15.0,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,4,1,1,1,0.0,16,18,18,52,1,Low,False,True,False,True
1,15.0,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4.0,3,3,1,1,4,10.0,10,11,11,32,1,High,True,False,False,True
1,15.0,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5.0,1,2,1,1,3,8.0,7,8,8,23,0,High,True,False,False,True
1,16.0,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,1,5,2.0,16,18,18,52,1,Meduim,False,True,False,True
1,15.0,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3,5,3,5,1,6.0,10,13,13,36,1,High,False,True,True,False
1,16.0,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4,5,1,1,4,5.679245283018868,14,15,16,45,1,Meduim,True,False,False,True
1,15.0,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5,3,1,1,4,6.0,18,19,19,56,1,Low,False,True,False,True
1,16.0,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4.0,1,2,1,1,2,0.0,7,10,10,27,1,Meduim,True,False,True,False
1,16.0,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1,2,1,1,5,6.0,10,13,13,36,0,Low,True,False,False,True
1,15.0,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,5,2,1,1,3,10.0,18,19,19,56,1,Low,False,True,False,True
1,15.0,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,4,2,1,1,5,8.0,9,9,9,27,0,Low,False,True,True,False
1,16.0,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,1,2,5,5.679245283018868,15,15,16,46,1,Low,False,True,False,True
1,16.0,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4.0,4,3,1,1,2,2.0,11,13,14,38,1,Low,False,True,False,True
1,16.0,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5.0,4,2,1,1,5,0.0,13,14,13,40,1,Low,False,True,False,True
1,17.0,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2,4,1,4,5,20.0,9,7,8,24,1,Low,False,True,True,False
1,15.0,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4,3,1,2,4,6.0,14,13,13,40,1,Low,False,True,False,True
1,15.0,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3.0,2,3,1,2,1,2.0,16,15,15,46,0,Low,True,False,False,True
1,15.0,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,4,1,2,5,6.0,16,14,15,45,0,High,False,True,False,True
1,16.0,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,2,1,2,5,2.0,13,13,13,39,1,Low,True,False,False,True
1,16.0,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3.0,4,4,1,4,5,18.0,14,11,13,38,1,Low,False,True,False,True
1,16.0,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5.0,4,4,1,1,5,0.0,8,7,8,23,0,Low,True,False,False,True
1,15.0,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5.0,5,5,3,2,5,0.0,13,13,12,38,1,Low,False,True,False,True
1,15.0,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5.0,3,2,1,1,1,0.0,7,10,11,28,1,Low,True,False,False,True
1,19.0,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3.0,4,2,1,1,5,2.0,7,8,9,24,0,Low,True,False,False,True
1,18.0,GT3,T,2,2,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3.0,3,3,1,2,4,0.0,7,4,0,11,0,Low,False,True,True,False
1,16.0,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,5,5,2,5,4,5.679245283018868,18,18,18,54,1,Low,False,True,True,False
1,15.0,GT3,T,3,4,services,teacher,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0.0,12,0,0,12,1,Meduim,True,False,True,False
